barkod,miktar,markalar,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,birim,kategori_listesi,etiketler_listesi
6111246721261,1.0,milky food professional,['Milk'],['Milk'],3.0,A,3.0,B,True,True,maybe,80.0,12.0,0.0,6.1,0.0,0.0,7.3,0.0,0.0,,kg,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Cheeses', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Fromages blancs - petit suisses and skyr', 'Plain fermented dairy desserts', 'fr:Fromages blancs', 'fr:Fromages blancs natures']",['Vegetarian']
6111035000430,33.0,سيدي علي,[],[],1.0,A,,,False,True,yes,0.0,0.0,0.0,4.2,1.4,0.0,0.0,0.0,,0.0,cl,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Unsweetened beverages', 'Natural mineral waters']",[]
6111035000058,1.5,sidi ali,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,,0.0,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Unsweetened beverages', 'Natural mineral waters']","['ISO 22000', 'ISO 14001', 'ISO 45001', 'ISO 9001']"
6111035002175,2.0,sidi ali,[],[],7.0,A,1.0,,True,True,yes,,,,,,,,0.065,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Natural mineral waters']",['Green Dot']
3274080005003,1500.0,cristaline,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,,,ml,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Unsweetened beverages']",['Triman']
6111128000071,1.5,danone,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,,0.0,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Non-alcoholic beverages', 'Unsweetened beverages']",[]
6111252421568,33.0,aquafina,[],[],4.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000508,0.0,0.0,cl,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Table waters']",[]
6111242100985,80.0,jaouda,['Milk'],[],5.0,A,1.0,B,True,True,no,101.0,6.0,0.0,4.2,0.0,0.0,7.6,0.0,,0.0,g,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Fromages blancs - petit suisses and skyr', 'Yogurts', 'Plain fermented dairy desserts', 'fr:Fromages blancs', 'fr:Fromages blancs natures']",[]
6111035000027,50.0,sidi ali,[],['Agua'],3.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,0.0065,,0.0,cl,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Natural mineral waters']","['Green Dot', 'Maroc']"
6111246721278,1.0,original,['Milk'],[],4.0,A,3.0,D,True,True,no,257.0,18.0,0.0,3.1,0.0,0.0,10.0,0.0,,,kg,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Cheeses', 'Cream cheeses']",[]
6111035502828,33.0,ain atlas,[],[],1.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,cl,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Natural mineral waters']",['Green Dot']
3329770077003,850.0,yoplait,['Milk'],[],1.0,A,3.0,A,True,True,no,57.0,0.105,0.065,3.6,0.0,0.0,9.5,0.1375,,,g,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Cheeses', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Fromages blancs - petit suisses and skyr', 'Plain fermented dairy desserts', 'Skyrs', 'Plain skyrs']","['French milk', 'Made in France', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
3760049798609,500.0,la boulangère,['Gluten'],"['Eggs', 'Milk', 'Mustard', 'Sesame seeds', 'Soybeans']",17.0,A,4.0,A,True,True,yes,294.0,9.6,1.0,37.0,0.0,7.2,12.0,0.96,,0.48,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Sliced breads']","['Fair trade', 'Source of fibre', 'High fibres', 'Made in France', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'Agri-Éthique France', 'fr:Blé français', 'Triman']"
6175700,160.0,ekibio,[],[],3.0,A,3.0,A,True,True,yes,388.0,2.8,0.6,75.0,2.6,4.4,13.4,0.68,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Cereals and potatoes', 'Cereals and their products', 'Extruded crispbreads']","['Vegetarian', 'Fair trade', 'No gluten', 'Organic', 'Crossed Grain Trademark', 'EU Organic', 'Kosher', 'Vegan', 'Green Dot', 'Nutriscore', 'Nutriscore Grade A', 'The Vegan Society', 'AB Agriculture Biologique', 'Afdiag']"
6111035003035,1.0,les eaux minérales d'oulmès s.a.,[],[],1.0,A,,,False,True,yes,,,,,,,,0.078375,,0.0,l,"['Beverages and beverages preparations', 'Beverages', 'Carbonated drinks', 'Waters', 'Spring waters', 'Mineral waters', 'Carbonated waters', 'Natural mineral waters', 'Carbonated mineral waters']","['ISO 22000', 'ISO 14001', 'ISO 45001', 'ISO 9001', 'Natural co2']"
7311070032611,425.0,krisprolls,['Gluten'],[],7.0,A,4.0,A,True,True,yes,400.0,6.6,0.9,68.0,1.1,8.3,13.0,1.1,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Rusks', 'Toasts', 'Toasted bread rolls', 'fr:Petit pain grillé suédois sans sucre', 'fr:Petit-pain-suedois-sans-sucre']","['Sustainable', 'No preservatives', 'Source of fibre', 'Sustainable Palm Oil', 'High fibres', 'No added sugar', 'No additives', 'No palm oil', 'Roundtable on Sustainable Palm Oil', 'Triman']"
3168930163480,1.0,alvalle,[],['Gluten'],9.0,A,3.0,A,True,True,yes,40.0,2.2,0.4,3.5,3.3,1.2,0.9,0.62,,,l,"['Plant-based foods and beverages', 'Plant-based foods', 'Fruits and vegetables based foods', 'Meals', 'Soups', 'Vegetable soups', 'Cold soups', 'Gazpacho']","['No gluten', 'No preservatives', 'FSC', 'Green Dot', 'No additives', 'No colorings', 'Nutriscore', 'Nutriscore Grade A', 'Triman', 'fr:Emballage Carbon neutral', 'fr:FSC-C081801']"
42104964,33.0,ciel,[],['Nuts'],4.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,0.13,,,cl,"['Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Table waters']",[]
7300400481595,275.0,wasa,['Gluten'],"['Lupin', 'Milk', 'Mustard', 'Sesame seeds', 'Soybeans']",4.0,A,3.0,A,True,True,yes,336.0,1.5,0.4,62.0,0.0,19.0,9.0,1.0,0.0,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breads', 'Rusks', 'Crispbreads', 'fr:Pain croquant']","['Vegetarian', 'Green Dot', 'Triman']"
6111035001659,5.0,eau minérale naturelle des montagnes d'atlas,[],[],12.0,A,,,False,True,yes,,,,,,,,0.0,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",[]
7300400481588,230.0,wasa,"['Gluten', 'Sesame seeds']","['Lupin', 'Milk', 'Mustard', 'Soybeans']",6.0,A,3.0,A,True,True,yes,333.0,5.0,1.0,47.0,2.0,26.0,12.0,1.2,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Snacks', 'Cereals and potatoes', 'Salty snacks', 'Appetizers', 'Cereals and their products', 'Chips and fries', 'Crisps', 'Breads', 'Extruded crispbreads', 'Crispbreads', 'Crispbreads (wholemeal)', 'Extruded and grilled crispbread']","['Vegetarian', 'Source of fibre', 'Green Dot', 'High fibres', 'Triman', 'fr:Emballage-recyclable']"
3327272107969,454.0,menguy's,['Peanuts'],"['Gluten', 'Nuts', 'Soybeans']",1.0,A,1.0,D,True,True,yes,610.0,48.0,5.8,13.0,6.2,7.0,28.0,0.05,,0.0,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Legumes and their products', 'Spreads', 'Nuts and their products', 'Plant-based spreads', 'Oilseed purees', 'Legume butters', 'Peanut butters']","['Made in France', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
6111128000460,5.0,aïn saiss,[],[],1.0,A,1.0,,True,True,yes,,,,,,,,0.002,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters', 'Natural mineral waters']",[]
6111242100305,110.0,jaouda,['Milk'],[],9.0,A,4.0,B,,,no,109.0,3.0,0.4,16.9,2.0,,3.6,0.0,,0.0,g,"['Dairies', 'Fermented foods', 'Fermented milk products', 'Desserts', 'Dairy desserts', 'Fermented dairy desserts', 'Yogurts']",[]
6111128000163,0.33,danone,[],[],8.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",[]
6111128000088,,عين سايس,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",['Green Dot']
6111035001635,1.5,ain atlas,[],[],1.0,A,,,False,True,yes,0.0,0.0,0.0,0.0,0.0,,0.0,0.12,,,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Spring waters', 'Mineral waters']",[]
3268840001008,500.0,cristaline,[],[],1.0,A,1.0,,True,True,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00476,0.0,,ml,"['Beverages and beverages preparations', 'Beverages', 'Snacks', 'Waters', 'Spring waters']","['Triman', 'fr:Sans Nitrates']"
3760091727732,350.0,ethiquable,"['Nuts', 'Peanuts']",['Nuts'],1.0,A,1.0,B,True,True,yes,622.0,50.0,6.8,13.0,5.8,8.3,26.0,0.03,,,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Legumes and their products', 'Spreads', 'Plant-based spreads', 'Oilseed purees', 'Legume butters', 'Peanut butters']","['Fair trade', 'Organic', 'EU Organic', 'Non-EU Agriculture', 'Fair-Trade Organic', 'FR-BIO-01', 'Made in France', 'AB Agriculture Biologique', 'Triman']"
