url,barkod,urun_adi,miktar,ambalaj,markalar,kategoriler,etiketler,mensei,uretim_yerleri,satildigi_ulkeler,icerik_metni,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,yag_seviyesi,doymus_yag_seviyesi,seker_seviyesi,tuz_seviyesi,enerji_kj,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,sodyum_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,nutriscore_puan,ns_negatif_puan,ns_pozitif_puan,ns_enerji_puan,ns_seker_puan,ns_doymus_yag_puan,ns_tuz_puan,ns_protein_puan,ns_lif_puan,ns_meyve_sebze_baklagil_puan
https://world.openfoodfacts.org/product/7622210449283/prince-gout-chocolat-lu,7622210449283,Prince Gout Chocolat – LU – 300 g,300 g,"Packet, ,, Etui en carton, ,, Film en plastique, ,, Hdpe film-packet",LU,"Snacks, ,, Breakfasts, ,, Sweet snacks, ,, Biscuits and cakes, ,, Biscuits and crackers, ,, Biscuits, ,, Filled biscuits, ,, Sandwich biscuits","Distributor labels, ,, Charte LU Harmony, ,, Triman",,,"Algeria, ,, Belgium, ,, France, ,, French Polynesia, ,, Germany, ,, Guadeloupe, ,, Hungary, ,, Luxembourg, ,, Martinique, ,, Morocco, ,, New Caledonia, ,, Réunion, ,, Spain, ,, Switzerland, ,, United States","WHEAT flour 35%, whole WHEAT flour 15.7%, sugar, vegetable oils (palm, rapeseed), low-fat cocoa powder 4.5%, glucose syrup, WHEAT starch, raising agents (ammonium bicarbonate, sodium bicarbonate, disodium diphosphate), emulsifiers ( SOY lecithin, sunflower lecithin), salt, skimmed MILK powder, lactose and MILK proteins, flavors, MAY CONTAIN EGG .","Eggs, Gluten, Milk, Soybeans",Eggs,19,E,4,D,False,,no,moderate,high,high,moderate,1960.0,465.0,17.5,5.5,70.0,31.5,4.0,6.5,0.5,0.2,0.0,0.0,20,21,1,5,9,5,2,,1,0
https://world.openfoodfacts.org/product/3046920029759/edelbitterschokolade-mild-90-lindt-excellence,3046920029759,Edelbitterschokolade Mild 90% – Lindt EXCELLENCE – 100 gram,100 gram,"Aluminium wrap, ,, Box cardboard, ,, Caja de cartón, ,, Card-box, ,, Foil-wrapper, ,, es:Recipiente, ,, fr:Feuille aluminium, ,, fr:Étui carton, ,, pt:Papel de aluminio","Lindt, ,, Lindt EXCELLENCE","Snacks, ,, Sweet snacks, ,, Cocoa and its products, ,, Chocolates, ,, Dark chocolates, ,, Dark chocolate bar, ,, Botanas, ,, Cacao y sus productos, ,, Chocolates negros, ,, Chocolates negros extra finos, ,, Snacks dulces","Green Dot, ,, Triman",,Aachen,"Algeria, ,, Austria, ,, Belgium, ,, Bulgaria, ,, Canada, ,, Czech Republic, ,, Finland, ,, France, ,, French Polynesia, ,, Germany, ,, Ireland, ,, Italy, ,, Mauritius, ,, Morocco, ,, Netherlands, ,, Norway, ,, Poland, ,, Portugal, ,, Réunion, ,, Romania, ,, Singapore, ,, Spain, ,, Sweden, ,, Switzerland, ,, Tunisia, ,, United Kingdom","cocoa mass, cocoa butter, fat reduced cocoa, sugar, vanilla",,"Milk, Nuts, Soybeans",4,E,3,E,True,True,yes,high,high,moderate,low,2443.0,592.0,55.0,30.0,14.0,7.0,0.0,10.0,0.03,0.012,,0.0,19,19,0,7,2,10,0,,0,0
https://world.openfoodfacts.org/product/8000500082379/nutella-ferrero,8000500082379,Nutella – Ferrero – 1000g,1000g,"Glass, ,, Pot, ,, fr:Couvercle en plastique, ,, fr:Opercule aluminium, ,, fr:Pot en verre","Ferrero, ,, Nutella","Breakfasts, ,, Spreads, ,, Festive foods, ,, Sweet spreads, ,, Christmas foods and drinks, ,, fr:Pâtes à tartiner, ,, Hazelnut spreads, ,, Chocolate spreads, ,, Cocoa and hazelnuts spreads","Sustainable, ,, Sustainable Palm Oil, ,, Roundtable on Sustainable Palm Oil",,,"Austria, ,, Belgium, ,, Bulgaria, ,, Czech Republic, ,, France, ,, Germany, ,, Hungary, ,, Morocco, ,, Romania, ,, Serbia, ,, Slovenia, ,, Spain, ,, Sweden, ,, Switzerland, ,, Turkey","sugar, palm oil, hazelnuts (13%), skimmed  milk  powder (8,7 %), lean cocoa (7,4 %), emulsifier: lecithins ( soya ), vanillin","Milk, Nuts, Soybeans",,8,E,4,D,False,,no,high,high,high,low,2252.0,539.0,30.9,10.6,57.5,0.0,,6.3,0.17,0.068,,0.0,31,31,0,6,15,10,0,,0,0
https://world.openfoodfacts.org/product/6111252860077/trios-aperitivos-company,6111252860077,Trios – Aperitivos company – 20g,20g,,Aperitivos company,"Snacks, ,, Apéritif, ,, Snacks salés",Green Dot,,"Tanger, ,, Maroc","Morocco, ,, Spain, ,, United States","French: Maïs, huile et/ou graisse végétale, arômes, sel et colorant",,,5,E,4,A,,,maybe,high,high,high,high,2234.0,534.0,32.1,32.1,54.0,54.0,,5.2,2.0,0.8,,,40,40,0,6,15,10,9,,0,0
https://world.openfoodfacts.org/product/3270190127765/carrefour-bio-noir-puur,3270190127765,carrefour bio noir - puur – 100 g,100 g,"Metal, ,, Recyclable Metals, ,, Aluminium, ,, Cardboard, ,, Sheet, ,, Sleeve, ,, fr:Plaquette","Carrefour BIO, ,, Carrefour","Snacks, ,, Sweet snacks, ,, Cocoa and its products, ,, Chocolates, ,, Dark chocolates, ,, Extra fine dark chocolates, ,, es:Tabletas de chocolate negro","Organic, ,, EU Organic, ,, Non-EU Agriculture, ,, EU Agriculture, ,, EU/non-EU Agriculture, ,, FR-BIO-01, ,, Green Dot, ,, IT-BIO-014, ,, Made in France, ,, Nutriscore, ,, Nutriscore Grade D, ,, Pure cocoa butter, ,, AB Agriculture Biologique, ,, Triman",Non European Union,"France, ,, Normandie, ,, Tinchebray","Belgium, ,, France, ,, French Polynesia, ,, Italy, ,, Morocco, ,, Spain","cocoa mass, sugar, cocoa butter, emulsifier: lecithins (sunflower), vanilla extract",None,"Milk, Nuts, es:cereales-que-contengan-gluten",7,E,4,C,True,True,yes,high,high,high,low,2353.0,567.0,42.0,26.0,32.0,27.0,12.0,9.6,0.03,0.012,,,19,24,5,7,7,10,0,,5,0
https://world.openfoodfacts.org/product/7622210476241/petit-brun-extra,7622210476241,Petit brun extra – 300 g,300 g,"Plastic, ,, Cardboard, ,, Ps-polystyrene, ,, fr:Film en plastique","Brun, ,, Mondelez","Snacks, ,, Sweet snacks, ,, Biscuits and cakes, ,, Biscuits and crackers, ,, Biscuits","fr:Blé français, ,, Triman",blé français,,"France, ,, Réunion","French: Farine de BLÉ 70%, sucre, huile de palme, sirop de glucose-fructose, poudres à lever (carbonates d'ammonium, carbonates de sodium, diphosphates), sel, correcteur d'acidité (acide citrique), arôme. PEUT CONTENIR OEUF , LAIT , SÉSAME .","Eggs, Gluten","Eggs, Milk, Sesame seeds",12,E,4,C,False,,maybe,moderate,high,high,moderate,1857.0,441.0,12.0,5.9,74.0,25.0,2.9,7.2,0.8,0.32,,0.0,20,20,0,5,7,5,3,,0,0
https://world.openfoodfacts.org/product/7622210204424/crema-de-chocolate-lu,7622210204424,Crema de chocolate – LU – 300 g 15.5,300 g 15.5,Plastic,"LU, ,, Mondelēz","Snacks, ,, Sweet snacks, ,, Biscuits and cakes, ,, Biscuits and crackers, ,, Biscuits, ,, Chocolate biscuits, ,, Filled biscuits","Source of fibre, ,, Green Dot",,Spain,"France, ,, Morocco, ,, Spain","cereals 49,1% ( wheat flour 34%, whole wheat flour 15,1%), sugar, palm fat, nabina oil, 4,6% degreased cocoa powder, glucose syrup, wheat starch, lactose and milk prostheins, gasificants (ammonium acid carbonate, sodium acid carbonate, disodium diphosphate), emulgent ( soy lecithin , sunflower lecithin), salt, skim milk powder, whey permeate aroma","Gluten, Milk, Soybeans",Eggs,16,E,4,E,False,True,no,moderate,high,high,moderate,1949.25,467.0,17.0,5.5,70.0,32.5,3.0,6.25,0.49375,0.1975,,0.0,21,21,0,5,9,5,2,,0,0
https://world.openfoodfacts.org/product/6111028001246/la-vache-qui-rit-24,6111028001246,la vache qui rit 24,,,,"Dairies, ,, Fermented foods, ,, Fermented milk products, ,, Cheeses, ,, Processed-cheese, ,, Processed cheese around 20% fat in wedges",,,,Morocco,"Arabic: جبنة مذوبة للدهين, مواد دهنية مصدرها الحليب, بروتينات الحليب, أملاح استحلاب, أملاح معدنية, ملح, زبدة, مركزات بروتينات الحليب, كالسيوم, فيتامين د",Milk,,10,E,1,D,False,True,no,high,high,low,high,1054.81927710843,253.0,20.4819277108434,13.855421686747,3.01204819277108,3.01204819277108,,14.4578313253012,5.72289156626506,2.28915662650602,,0.0,27,33,6,3,0,10,20,6,0,0
https://world.openfoodfacts.org/product/3229820791081/gaufres-miel-bjorg,3229820791081,Gaufres Miel – Bjorg – 175 g,175 g,Carton,Bjorg,"Snacks, ,, Sweet snacks, ,, Biscuits and cakes, ,, Biscuits and crackers, ,, Biscuits, ,, Pastries, ,, Waffles, ,, Stuffed waffles, ,, Honey stuffed waffles","Organic, ,, EU Organic, ,, Non-EU Agriculture, ,, Certified B Corporation, ,, EU Agriculture, ,, EU/non-EU Agriculture, ,, FR-BIO-01, ,, NL-BIO-01, ,, No palm oil, ,, AB Agriculture Biologique, ,, Triman",,,"Croatia, ,, France, ,, Morocco, ,, New Caledonia, ,, Réunion, ,, Switzerland","French: Farine de blé* 27%, sirop de blé*, graisses végétales* (huile de tournesol*, beurre de cacao*), sucre de canne* non raffiné, miel* 12%, son de blé* 1,7%, sel de mer, œufs* entiers en poudre, émulsifiant: lécithines*, poudre à lever carbonates de sodium, cannelle*, jus de citron*. Peut contenir des traces de lait et de fruits à coque . *Ingrédients biologiques.","Eggs, Gluten","Milk, Nuts",16,E,4,A,True,,no,moderate,moderate,high,moderate,1941.0,464.0,17.0,3.8,72.0,36.0,2.6,4.4,0.8,0.32,,,21,21,0,5,10,3,3,,0,0
https://world.openfoodfacts.org/product/5410041010800/veritable-petit-ecolier-chocolat-noir-pur-beurre-de-cacao-lu,5410041010800,Véritable Petit écolier Chocolat noir Pur beurre de cacao – LU – 150 g,150 g,"Plastic, ,, Box, ,, Cardboard, ,, Packet, ,, fr:Barquette et film plastique à jeter, ,, fr:Étui carton à recycler",LU,"Snacks, ,, Sweet snacks, ,, Biscuits and cakes, ,, Biscuits and crackers, ,, Biscuits, ,, Chocolate biscuits, ,, Dark chocolate biscuits, ,, Biscuit with a chocolate bar covering, ,, Biscuit with a dark chocolate bar covering","Distributor labels, ,, No preservatives, ,, Charte LU Harmony, ,, Made in France, ,, No colorings, ,, Pure cocoa butter, ,, fr:Blé français, ,, Triman","fr:Beurre origine UE, ,, fr:Blé origine France","Q62098652, ,, Q137439458","Canada, ,, France, ,, Germany, ,, Morocco, ,, Réunion, ,, Spain, ,, Switzerland","petit butter 52%: wheat flour 68%, sugar, pastry butter 14%, skimmed milk powder, baking powder (sodium acid carbonate, disodium diphosphate, ammonium acid carbonate), salt, acidity corrector (citric acid), chocolat noir 48%: cocoa paste and butter , sugar, pastry butter, skimmed milk powder, ( milk ), emulsifier (lecithin), vanilla flavour","Gluten, Milk, Soybeans",Nuts,20,E,4,D,True,True,no,high,high,high,moderate,2110.2,502.0,25.0,15.0,62.0,0.0,4.5,5.6,0.56,0.224,,0.0,26,28,2,6,10,10,2,,2,0
