url,barkod,urun_adi,miktar,ambalaj,markalar,kategoriler,etiketler,mensei,uretim_yerleri,satildigi_ulkeler,icerik_metni,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,yag_seviyesi,doymus_yag_seviyesi,seker_seviyesi,tuz_seviyesi,enerji_kj,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,sodyum_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,nutriscore_puan,ns_negatif_puan,ns_pozitif_puan,ns_enerji_puan,ns_seker_puan,ns_doymus_yag_puan,ns_tuz_puan,ns_protein_puan,ns_lif_puan,ns_meyve_sebze_baklagil_puan
https://world.openfoodfacts.org/product/3100080001212/4-quenelles-de-brochet-fraiches-giraudet,3100080001212,4 Quenelles de Brochet Fraîches – Giraudet – 200 g,200 g,"Plastic, ,, Fresh, ,, Tray",Giraudet,"Plant-based foods and beverages, ,, Plant-based foods, ,, Cereals and potatoes, ,, Cereals and their products, ,, Meals, ,, Fresh foods, ,, Pasta dishes, ,, Pastas, ,, Meals with fish, ,, Stuffed pastas, ,, Fresh meals, ,, fr:Quenelles, ,, Fish quenelles, ,, Pike quenelles","Green Dot, ,, Label Rouge, ,, Triman, ,, fr:Riche en brochet",,France,"France, ,, Switzerland","French: œufs frais, brochet (21%), semoule de blé dur, beurre , eau, lait frais écrémé, sel.","Eggs, Fish, Gluten, Milk","Celery, Crustaceans, Eggs, Fish, Gluten, Lupin, Milk, Molluscs, Mustard, Nuts, Peanuts, Sesame seeds, Soybeans, Sulphur dioxide and sulphites",7,D,3,,True,False,no,moderate,high,low,moderate,845.0,201.0,11.0,6.0,14.8,0.4,,11.8,1.3,0.52,,,13,13,0,2,0,5,6,,0,0
https://world.openfoodfacts.org/product/0202285013120/flan,0202285013120,Flan –,,,,"Dairies, ,, Snacks, ,, Desserts, ,, Sweet snacks, ,, Biscuits and cakes, ,, Dairy desserts, ,, Pastries, ,, Open-pies",Triman,,,France,"French: LAIT écrémé 61%, sucre, BEURRE 7%, OEUFS , amidons modifiés de maïs, amidon de maïs, semoule de BLE dur, eau, farine de BLE , arôme vanille, sel, colorants caroténoïdes (E160a), curcumine (E100). Présence possible de fruits à coque, graines de sésame et soja","Eggs, Gluten, Milk, Sesame seeds, Soybeans","Nuts, Sesame seeds, Soybeans",18,D,4,B,,,no,,,,,,401.0,18.595,8.708,50.111,25.349,2.022,5.871,0.555,,,0.971,12,12,0,2,6,4,0,,0,0
https://world.openfoodfacts.org/product/0637793000919/vintage-marmalade-mackays,0637793000919,Vintage marmalade – Mackays – 340 g,340 g,"Card-box, ,, Jar - glass, ,, Lid - metal",Mackays,"Plant-based foods and beverages, ,, Plant-based foods, ,, Breakfasts, ,, Spreads, ,, Plant-based spreads, ,, Sweet spreads, ,, Fruit and vegetable preserves, ,, Citrus jams, ,, Marmalades, ,, Orange jams",,,"Scotland, ,, United Kingdom",United Kingdom,"Sugar, Seville oranges, Lemon Juice (from concentrate), treacle, Gelling Agent: Fruit pectin, Acidity Regulator: Citric Acid, Orange oil.",,,9,D,4,B,True,True,yes,low,low,high,low,1145.0,269.0,0.0,0.0,66.9,66.7,,0.4,0.0,0.0,,,18,18,0,3,15,0,0,,0,0
https://world.openfoodfacts.org/product/3250392053260/delice-surimi-crabe-intermarche,3250392053260,Délice surimi & crabe – Intermarche – 120 g,120 g,,Intermarche,"Seafood, ,, Fishes and their products, ,, Fish preparations",,,,France,"French: Préparation à base de surimi 40% (surimi 14% (chair de poisson; stabilisants: E420 E452), eau, amidon (dont gluten ), blanc d'oeuf , huile de colza; colorants: E170, Ĕ160c, E120; protéines de soja, sel, arôme (dont crustacés ); exhausteurs de goût: E631, E635), huile de colza, œufs , eau, chair de crabe 7% ( crustacés ), amidon modifié de maïs, sel, sirop de sucre inverti, vinaigre d'alcool, moutarde (eau, graines, de moutarde , vinaigre, sel, curcuma), exhausteur de goût E621, arôme (dont poissons et crustacés ), extraits de mélasse, taramin, levure, noix de muscade et clous de girofle; conservateurs : E202, E211, E223; épaississant : E415. Pourcentages exprimés sur la totalité du produit. Traces éventuelles de céleri et lait .","Crustaceans, Eggs, Fish, Gluten, Mustard, Soybeans","Celery, Milk",51,D,4,,True,False,no,high,moderate,low,high,1020.0,244.0,21.0,2.0,7.8,2.3,,5.9,1.73,0.692,,,12,12,0,3,0,1,8,,0,0
https://world.openfoodfacts.org/product/3450970118897/chips-nature-eco,3450970118897,Chips Nature – Eco – 200 g,200 g,fr:Sachet plastique à jeter,"Eco, ,, Scamark (Filiale E. Leclerc)","Plant-based foods and beverages, ,, Plant-based foods, ,, Snacks, ,, Cereals and potatoes, ,, Salty snacks, ,, Appetizers, ,, Chips and fries, ,, Crisps, ,, Potato crisps, ,, Potato crisps in sunflower oil",Triman,,,France,"potatoes, sunflower oil 35%, salt",,"Milk, Peanuts",3,D,3,B,True,True,yes,high,moderate,low,moderate,2154.0,517.0,34.0,2.9,45.0,0.6,4.3,5.7,1.1,0.44,,,11,13,2,6,0,2,5,,2,0
https://world.openfoodfacts.org/product/3564700490082/merguez-de-volaille-volandrie,3564700490082,Merguez de volaille – Volandrie – 300 g,300 g,,Volandrie,"Meats and their products, ,, Meats, ,, Prepared meats, ,, Sausages, ,, Poultry sausages, ,, fr:Merguez, ,, Poultry merguez","French meat, ,, French poultry",,,France,"French: Viande de dinde 71 % (origine : France) ; peau de poulet ; eau ; conservateurs: lactate de potassium, E263, E262 ; fibre de blé ; sel ; sirop de glucose ; épices (dont piment 1 %) ; dextrose ;betterave rouge ;arômes naturels ; plantes aromatiques ; antioxydant : ascorbate de sodium. Boyau naturel de mouton.
Traces de lait et œufs .",Gluten,"Eggs, Milk",19,D,4,,True,False,no,moderate,moderate,low,high,723.0,172.0,11.0,3.3,1.4,1.1,2.5,16.0,1.7,0.68,,,13,13,0,2,0,3,8,,0,0
https://world.openfoodfacts.org/product/5410093143549/vinaigrette-ciboulette-vandemoortele,5410093143549,Vinaigrette Ciboulette – vandemoortele – 450ml,450ml,Plastic,vandemoortele,"Condiments, ,, Sauces, ,, Salad dressings, ,, Vinaigrettes, ,, Groceries",Green Dot,,,"Belgium, ,, France","water, rapeseed oil (20%), glucose-fructose syrup, vinegar, egg yolk , salt, modified starch, mustard (water, spirit vinegar, mustard seeds, acidifier (citric acid), spice), chives (1%), white wine vinegar, acidifier (glucono-delta-lactone), garlic powder, thickener (xanthan gum), preservative (sorbic acid), spices, bell pepper","Eggs, Mustard",,25,D,4,D,True,True,no,high,moderate,moderate,high,1004.0,240.0,22.0,1.9,9.6,5.7,0.3,0.7,2.4,0.96,,,15,15,0,2,1,1,11,,0,0
https://world.openfoodfacts.org/product/5601312064190/bolachas-de-aveia-continente,5601312064190,Bolachas de Aveia – Continente – 387 g,387 g,Plastic,"Continente, ,, SONAE","Snacks, ,, Sweet snacks, ,, Biscuits and cakes, ,, Biscuits and crackers, ,, Biscuits","Source of fibre, ,, Green Dot, ,, ISO 9001, ,, pt:Ecoponto amarelo",,,Portugal,"Portuguese: Farinha ( Trigo (35%), Arroz, Centeio , Cevada , Aveia (0,3%)), Flocos de Aveia 28%), Óleo de Girassol, Açúcar, Xarope de Glicose, Xarope de Açúcar Invertido, Farelo de Trigo (2%), Levedantes (Hidrogenocarbonato de Amónio, Hidrogenocarbonato de Sódio), Sal, Emulsionante (Lecitinas), Soro de Leite em Pó, Antioxidantes (Extrato Rico em Tocoferóis, Palmitato de Ascorbilo).","Gluten, Milk",Soybeans,22,D,4,C,,,no,moderate,moderate,high,moderate,1989.0,474.0,19.0,2.2,66.0,18.0,4.3,7.6,0.75,0.3,,,13,15,2,5,5,2,3,,2,0
https://world.openfoodfacts.org/product/4056489017141/edam-semi-hard-medium-fat-cheese-slices-milbona,4056489017141,Edam semi-hard medium fat cheese slices – Milbona – 400g,400g,,Milbona,"Dairies, ,, Fermented foods, ,, Fermented milk products, ,, Cheeses, ,, Cheeses of the Netherlands, ,, Edam","Vegetarian, ,, Contains milk, ,, No lactose",,,United Kingdom,Edam ( Milk ).,Milk,,1,D,3,D,True,True,no,high,high,low,high,1297.0,312.0,23.0,15.9,0.1,0.0,0.0,25.0,1.6,0.64,,,13,20,7,3,0,10,7,7,0,0
https://world.openfoodfacts.org/product/7640166796787/bio-frischkase-nature-zuger,7640166796787,Bio Frischkäse Nature – Züger – 150 g,150 g,"Plastic, ,, Pp-polypropylene, ,, Box, ,, Tray","Züger, ,, Züger Frischkäse","Dairies, ,, Fermented foods, ,, Fermented milk products, ,, Cheeses, ,, Spreads, ,, Salted spreads, ,, Fresh cheeses, ,, Cheese spreads, ,, Lactose-free cheeses, ,, pt:Queijos frescos para barrar","Organic, ,, EU Organic, ,, CH-BIO-006, ,, Incorrect data on label, ,, Incorrect nutrition facts on label, ,, No lactose, ,, Triman",,Suisse,"France, ,, Netherlands, ,, Portugal, ,, Switzerland","German: Milch **, Rahm **, Milchprotein **, Salz, Laktase, Milchsäurekulturen, mikrobielles Lab. **aus kontrolliert biologischer Landwirtschaft.",Milk,None,7,D,4,B,True,,no,high,high,low,moderate,1075.0,260.0,24.0,16.0,3.5,3.5,,7.5,0.8,0.32,,,14,17,3,3,1,10,3,3,0,0
https://world.openfoodfacts.org/product/4066447075335/pesto-basilico-dmbio,4066447075335,Pesto Basilico – DmBio – 120g,120g,"Lid or cap, ,, Metal, ,, Glass, ,, Paper, ,, Clear Glass, ,, Jar, ,, Label, ,, Lid, ,, Steel","DmBio, ,, dm, ,, dmBio (DM)","Condiments, ,, Sauces, ,, Pestos","Organic, ,, Vegetarian, ,, EU Organic, ,, Non-EU Agriculture, ,, Vegan, ,, EG-Öko-Verordnung, ,, EU Agriculture, ,, EU/non-EU Agriculture, ,, European Vegetarian Union, ,, European Vegetarian Union Vegan, ,, IT-BIO-006, ,, Made in Italy",Hergestellt in Italien.,Italien,Germany,"German: 60% Basilikum, Olivenöl, Zitronensaft, 4% Pinienkerne, Meersalz",,,5,D,3,B,True,True,yes,high,moderate,low,high,1171.0,280.0,28.0,4.4,4.7,3.7,3.0,2.0,2.3,0.92,,,17,19,2,3,1,4,11,,0,2
https://world.openfoodfacts.org/product/4058172777912/sauerkirsche-fruchtaufstrich-dmbio,4058172777912,Sauerkirsche Fruchtaufstrich – DmBio – 340 g,340 g,Glass,"DmBio, ,, dm","Plant-based foods and beverages, ,, Plant-based foods, ,, Breakfasts, ,, Spreads, ,, Plant-based spreads, ,, Sweet spreads, ,, Fruit and vegetable preserves, ,, Jams, ,, de:Fruchtaufstrich","Organic, ,, Vegetarian, ,, EU Organic, ,, Non-EU Agriculture, ,, Vegan, ,, EG-Öko-Verordnung, ,, DE-ÖKO-001, ,, EU Agriculture, ,, EU/non-EU Agriculture, ,, European Vegetarian Union, ,, European Vegetarian Union Vegan, ,, Made in Germany","European Union, ,, Non European Union",,Germany,"German: 55 % Sauerkirschen, Rübenzucker, Zitronensaftkonzentrat, Pektin",,,4,D,4,A,True,True,yes,low,low,high,low,723.0,173.0,0.5,0.1,41.0,41.0,1.2,0.5,0.03,0.012,,,11,13,2,2,11,0,0,,0,2
