url,barkod,urun_adi,miktar,ambalaj,markalar,kategoriler,etiketler,mensei,uretim_yerleri,satildigi_ulkeler,icerik_metni,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,yag_seviyesi,doymus_yag_seviyesi,seker_seviyesi,tuz_seviyesi,enerji_kj,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,sodyum_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,nutriscore_puan,ns_negatif_puan,ns_pozitif_puan,ns_enerji_puan,ns_seker_puan,ns_doymus_yag_puan,ns_tuz_puan,ns_protein_puan,ns_lif_puan,ns_meyve_sebze_baklagil_puan
https://world.openfoodfacts.org/product/6111246721261/fromage-blanc-nature-milky-food-professional,6111246721261,Fromage Blanc Nature – Milky Food Professional – 1 kg,1 kg,Plastic,Milky Food Professional,"Dairies, ,, Fermented foods, ,, Fermented milk products, ,, Cheeses, ,, Desserts, ,, Dairy desserts, ,, Fermented dairy desserts, ,, Fromages blancs - petit suisses and skyr, ,, Plain fermented dairy desserts, ,, fr:Fromages blancs, ,, fr:Fromages blancs natures",Vegetarian,Maroc,Maroc,"Canada, ,, France, ,, Morocco, ,, United States","French: Ferments lactiques , Présure, Sel.",Milk,Milk,3,A,3,B,True,True,maybe,moderate,low,low,low,337.0,80.0,12.0,0.0,6.1,0.0,0.0,7.3,0.0,0.0,0.0,,-2,1,3,1,0,0,0,3,0,0
https://world.openfoodfacts.org/product/6111035000430/sidi-ali-%D8%B3%D9%8A%D8%AF%D9%8A-%D8%B9%D9%84%D9%8A,6111035000430,sidi ali – سيدي علي – 33 cl,33 cl,"Plastic, ,, Bottle",سيدي علي,"Beverages and beverages preparations, ,, Beverages, ,, Waters, ,, Spring waters, ,, Mineral waters, ,, Unsweetened beverages, ,, Natural mineral waters",,,,"Canada, ,, France, ,, Morocco, ,, United Kingdom, ,, United States",Spanish: OBD1 999 999 1112606 266963207 mb,,,1,A,,,False,True,yes,low,low,low,low,2.0,0.0,0.0,0.0,4.2,1.4,0.0,0.0,0.0,0.0,,0.0,1,1,0,0,1,0,0,0,0,0
https://world.openfoodfacts.org/product/6111035000058/eau-minerale-naturelle-sidi-ali,6111035000058,"Eau minérale naturelle – sidi ali – 1,5 L","1,5 L","Plastic, ,, Bottle or vial, ,, Bottle",sidi ali,"Beverages and beverages preparations, ,, Beverages, ,, Waters, ,, Spring waters, ,, Mineral waters, ,, Unsweetened beverages, ,, Natural mineral waters","ISO 22000, ,, ISO 14001, ,, ISO 45001, ,, ISO 9001",Morocco,,"Canada, ,, France, ,, Germany, ,, Morocco, ,, Netherlands, ,, United Kingdom, ,, United States",100% mineral water,,,1,A,1,,True,True,yes,low,low,low,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,,,0.0,0,0,0,0,0,0,0,0,0,0
https://world.openfoodfacts.org/product/6111035002175/sidi-ali,6111035002175,Sidi Ali – 2 L,2 L,,Sidi Ali,"Beverages and beverages preparations, ,, Beverages, ,, Waters, ,, Spring waters, ,, Mineral waters, ,, Natural mineral waters",Green Dot,"Bassin d'Oulmès, ,, Sidi Ali Cherif",,"Canada, ,, France, ,, Morocco, ,, United States","sodium, calcium, magnesium, potassium, bicarbonates, sulfates, chlorides",,,7,A,1,,True,True,yes,,,,low,,,,,,,,,0.065,0.026,,,0,0,0,0,0,0,0,0,0,0
https://world.openfoodfacts.org/product/3274080005003/eau-de-source-cristaline,3274080005003,Eau De Source – Cristaline – 1500 ml,1500 ml,"Aluminium-can, ,, HdpeFilm-packet, ,, PpFilm-wrapper, ,, Ldpe-film",Cristaline,"Beverages and beverages preparations, ,, Beverages, ,, Waters, ,, Spring waters, ,, Unsweetened beverages",Triman,France,"Saint-Martin de Gurson, ,, France, ,, 24610","Belgium, ,, Côte d'Ivoire, ,, France, ,, Germany, ,, Guadeloupe, ,, Italy, ,, Luxembourg, ,, Mali, ,, Martinique, ,, Netherlands, ,, New Caledonia, ,, Switzerland, ,, United Kingdom, ,, United States","Eau de source Noemie

Calcium Ca2+ 113 mg/l
Magnesium Mg2+ 228 mg/l
Sodium Na 7 mg/l
Potassium K 2 mg/l
Silice SiOz 15 mg/l
Bicarbonates HCO3 - 447 mg/l
Sulfates SO42 - 53 mg/l
Chlorure Cl - 8 mg/l
Nitrates NO3 - <2 mg/l
Fluor F - <1 mg/l
pH 7.3",None,None,1,A,1,,True,True,yes,low,low,low,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.0011,,,0,0,0,0,0,0,0,0,0,0
https://world.openfoodfacts.org/product/6111128000071/ain-saiss-danone,6111128000071,Ain Saïss – Danone – 1.5 l,1.5 l,Plastic bottle,Danone,"Beverages and beverages preparations, ,, Beverages, ,, Waters, ,, Spring waters, ,, Mineral waters, ,, Non-alcoholic beverages, ,, Unsweetened beverages",,Morocco,Fes Morocco,"France, ,, Morocco, ,, United States",French: Eau minérale naturelle,,,1,A,1,,True,True,yes,low,low,low,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,,,0.0,0,0,0,0,0,0,0,0,0,0
https://world.openfoodfacts.org/product/6111252421568/coca-cola-aquafina,6111252421568,Coca-Cola – AQUAFINA – 33cl,33cl,"Plastic, ,, Bottle",AQUAFINA,"Beverages and beverages preparations, ,, Beverages, ,, Waters, ,, Spring waters, ,, Mineral waters, ,, Table waters",,Morocco,Casablanca Morocco,"France, ,, Morocco, ,, United States",French: ouverture et avant le : Voir bouteille. après مياه مصفاة بتقنية اكوافينا هايدرو - 7 Eau purifiée par la technique Aquafina HydRO-7,,,4,A,,,False,True,yes,low,low,low,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000508,0.0002032,0.0,0.0,0,0,0,0,0,0,0,0,0,0
https://world.openfoodfacts.org/product/6111242100985/jaouda,6111242100985,Jaouda – 80 g,80 g,,Jaouda,"Dairies, ,, Fermented foods, ,, Fermented milk products, ,, Desserts, ,, Dairy desserts, ,, Fermented dairy desserts, ,, Fromages blancs - petit suisses and skyr, ,, Yogurts, ,, Plain fermented dairy desserts, ,, fr:Fromages blancs, ,, fr:Fromages blancs natures",,Morocco,,"France, ,, Morocco, ,, United States","French: lait ecremé , créme , ferments lactiques . Matière grasse: 6% Poids net:90g",Milk,,5,A,1,B,True,True,no,moderate,low,low,low,422.6,101.0,6.0,0.0,4.2,0.0,0.0,7.6,0.0,0.0,,0.0,-2,1,3,1,0,0,0,3,0,0
https://world.openfoodfacts.org/product/6111035000027/mineral-water-sidi-ali,6111035000027,Minéral water – Sidi Ali – 50 cl,50 cl,Plastique,Sidi Ali,"Beverages and beverages preparations, ,, Beverages, ,, Waters, ,, Spring waters, ,, Mineral waters, ,, Natural mineral waters","Green Dot, ,, Maroc",Morocco,Oulmes,"France, ,, Morocco, ,, United States","French: Composition minérale en mg/
Résidu sec à 110°C: 186
12 t S Sodium 26 tCalciumMagnésium9 tiiSulfates 42 i3 t H Chiorures 14Potassium
Bicarbonates 104 i Nitrates",,Agua,3,A,,,False,True,yes,low,low,low,low,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0065,0.0026,,0.0,0,0,0,0,0,0,0,0,0,0
https://world.openfoodfacts.org/product/6111246721278/cream-cheese-original,6111246721278,Cream cheese – Original – 1 kg,1 kg,,Original,"Dairies, ,, Fermented foods, ,, Fermented milk products, ,, Cheeses, ,, Cream cheeses",,,,"France, ,, Morocco, ,, United States","French: Lait de Vache pasteurisé, Crème fraiche pasteurisée
ferments lactiques, Présure,Sel.",Milk,,4,A,3,D,True,True,no,moderate,low,low,low,1061.0,257.0,18.0,0.0,3.1,0.0,0.0,10.0,0.0,0.0,,,-1,3,4,3,0,0,0,4,0,0
